code,name,current_stock,min_stock,base_price,wholesale_price,retail_price
PROD-217,DULCE DE LECHE WYNDY 3KG,1000,0,7300,11500,11500
PROD-218,DULCE DE LECHE REDPAN 10KG REPOSTERO,987,0,18300,28800,28800
PROD-219,DULCE DE LECHE WYNDY 250GR,849,0,690,1100,1100
PROD-22,LEVADURA 500 GR EN PAN,852,0,2900,4400,4400
PROD-220,FLAN VAINILLA WYNDY,300,0,395,600,600
PROD-222,LECHE ENTERA WYNDY CAJA,889,0,990,1500,1500
PROD-223,LECHE ENTERA SACHET WYNDY 1L,174,0,960,1460,1460
PROD-224,MOZZARELLA WYNDY,1000,0,5790,8760,8760
PROD-225,QUESO CHEDDAR EN BARRA WYNDY,994,0,6200,9400,9400
PROD-229,QUESO CREMOSO TEMPLE,836,0,4000,6050,6050
PROD-23,MAYONESA BQB 3KG,708,0,2550,3900,3900
PROD-23-2,MAYONESA BQB 3KG,708,0,2550,3900,3900
PROD-230,QUESO CREMOSO WYNDY,664,0,5300,6630,6630
PROD-232,QUESO ROQUEFORT WYNDY,978,0,9200,13920,13920
PROD-236,QUESO TYBO TEMPLE,613,0,6200,7760,7760
PROD-239,QUESO TYBO WYNDY,658,0,6400,8000,8000
PROD-24,MAYONESA DANICA 3KG,999,0,5200,7900,7900
PROD-24-2,MAYONESA DANICA 3KG,999,0,5200,7900,7900
PROD-240,SARDO ESTACIONADO WYNDY,898,0,8350,12640,12640
PROD-241,SARDO TEMPLE,955,0,7000,10600,10600
PROD-246,YOGURT BEBIBLE WYNDY 1L,487,0,945,1200,1200
PROD-249,YOGURT WYNDY FIRME 120G,645,0,383,580,580
PROD-25,MOSTAZA DANICA 3KG,974,0,5250,7950,7950
PROD-26,SALSA GOLF 3KG,991,0,6700,10150,10150
PROD-27,FIDEOS FRESCOS DI PASC 'ESPINACA',998,0,700,1100,1100
PROD-28,DISCO ARABE DI PASC,440,0,585,900,900
PROD-29,DISCO COPETIN DI PASC,964,0,600,950,950
PROD-30,DISCO FREIR DI PASC,499,0,450,700,700
PROD-31,DISCO HORNO DI PASC,80,0,450,700,700
PROD-32,DISCO PASTELITO DI PASC,41,0,610,940,940
PROD-33,FIDEOS FRESCOS DI PASC 500GR,20,0,640,1000,1000
PROD-34,ÑOQUIS FRESCOS DI PASC 500GR,561,0,670,1050,1050
PROD-35,TAPA PASCUALINA HOJALDRE DI PASC,985,0,1000,1550,1550
PROD-36,RAVIOLES FRESCOS DI PASC 1KGR,189,0,1450,2200,2200
PROD-37,RAVIOLES FRESCOS DI PASC 500GR,399,0,740,1150,1150
